rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,source,price_score,growth_score,commission_score,competition_score,lifecycle_score,shop_score,market_heat,viability,potential,markers
455,"Unisex Oval Flat-Top Non-Prescription Eyeglasses, Lightweight PC Frame, AC Lens, Fashion Accessory,summer outifit,travel essentials",10.65,1545.0,1.85,2.19,24.54,15.0,,A.June's Shop,镜框与镜片,,,products_sales_us.csv,100.0,47.9,75.0,20.0,60.0,60.0,51.5,69.8,60.6,价格战红海
80,"2pcs Set Heart Shaped Cuban Chain Necklace Set for &,Hip Hop Style Choker Set,Luxurious Jewelry Set for Valentine's Day Gifts, Birthday,Everyday & Party Wear, for Teenager",11.8,4059.0,5.33,1.33,16.3,5.0,,Vogue-Jewelry,首饰套装,,,products_sales_us.csv,100.0,64.4,25.0,36.0,60.0,60.0,63.1,60.5,60.5,价格战红海
482,"9pcs Nose Ring Jewelry Shape Nose Ring Copper Non Piercing Nose Rings, U Shape Star Love Crown Nose Clip with Zirconia shape nose nose ring nose ring Punk Rhinestone Clip-On Gold gold nose protection bracelet cross septum Stainless Steel Charm summerwi",8.9,1484.0,1.47,2.19,21.64,15.0,,Arpurraina,身体饰品,,,products_sales_us.csv,100.0,47.6,75.0,20.0,60.0,60.0,51.3,69.8,60.5,价格战红海
12,Unisex Plain Color Multifunctional Skull Caps 2026 Summer Sportive Beanie Fitted Hat for Men Women Stretchy Helmet Liner Biking Accessory Back To School Birthday Outfit Machine Washable Polyamide SpringStatements Fitting Outdoor Hat,,8267.0,7.12,6.98,44.07,15.0,,love home-based,帽子,,,products_sales_us.csv,60.0,74.0,75.0,20.0,60.0,60.0,69.8,55.8,60.4,
39,"Heavy-Duty Metal Keychain for Men, Waterproof Multi-Tool with Bottle Opener & Dual Clip, Cool Accessory for Outdoors & Camping, Great Father's Day Gifts, Gifts For Boyfriend, Tools And Gadgets, Men's Accessories, Mens Gifts",12.8,5381.0,6.62,6499.0,7.92,10.0,,Orion Box,钥匙扣,,,products_sales_us.csv,100.0,59.7,50.0,20.0,60.0,60.0,59.8,63.5,60.4,价格战红海
236,"Couple Casual Water Resistant Watch, Quartz Analog Watches, Analog Wristwatches, Fashion Waterproof Round Dial Analog Stainless Steel Quartz Watch Set with Date & Week Display Function, Modern Accessories As Gift with Box",28.0,2403.0,5.09,8931.0,18.09,8.0,,CTPOR,情侣表,,,products_sales_us.csv,70.0,48.8,40.0,92.0,60.0,60.0,52.2,64.9,60.4,
457,EVRY JEWELS Gold or Silver Plated Stainless Steel Women's Hypoallergenic Cross Necklaces,8.99,1540.0,1.49,3.2,25.84,15.0,,EvryJewels,项链,,,products_sales_us.csv,100.0,47.1,75.0,20.0,60.0,60.0,51.0,69.8,60.4,价格战红海
134,"Unisex 2-Piece Retro Full-Rim Square Sunglasses - Lightweight Polycarbonate (PC) Frames with Metal Head Decoration, Men's Accessories, Women's Gifts for Beach & Daily Wear",15.5,3200.0,5.58,8702.0,14.7,13.0,,ShineThru,镜框与镜片,,,products_sales_us.csv,100.0,51.7,65.0,20.0,60.0,60.0,54.2,67.2,60.3,价格战红海
255,"ShineThru Unisex Retro Oversized Aviator Shades - Trendy Casual Stylish Windproof Punk Sunglasses,, Large Frame Beach Fashion Eyewear Accessory, Trendy Casual Sunglasses",11.0,2290.0,2.49,2.17,24.12,13.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,51.7,65.0,20.0,60.0,60.0,54.2,67.2,60.3,价格战红海
353,"KIMORN Oval Cat Eye Polarized Sunglasses for Women, Y2K Vintage Style, for Travel Beach Daily Wear Summervibes",16.99,1850.0,3.01,2931.0,4.48,15.0,,AE Glasses,太阳镜,,,products_sales_us.csv,100.0,46.8,75.0,20.0,60.0,60.0,50.7,69.8,60.3,价格战红海
470,"Lace Wig Grip Cap for Women,Glueless Wig 4x5 Lace Reusable Wig Cap for Lace Front Wigs to Keep Wigs in Place,Adjustable Wig Cap with Grip Band Non Slip Cap#tiktokshopbacktoschoo#SummerWinsl",,1505.0,1.67,1.37,13.1,20.0,,SZ General merchandise Co Ltd,接发与假发配件,,,products_sales_us.csv,60.0,48.9,100.0,44.0,60.0,60.0,52.3,66.8,60.3,
478,"Vintage Silver-Tone Witchy Symbolic Bracelet - Pagan-Inspired Lightweight Costume Jewelry with Moon, Sun, Tree of Life, Owl, Pentagram, Feather Charms - Celestial Gothic Boho Halloween Gift for Alternative Style, Adjustable, Daily Wear",9.69,1491.0,1.66,1510.0,1.68,15.5,,Jadeglow Lane,手环与手链,,,products_sales_us.csv,100.0,45.5,77.5,20.0,60.0,60.0,49.8,70.4,60.3,价格战红海
127,"Women's Round Dial Analog Quartz Watch, Luminous Watch for Party, Daily Clothing Decor, All-match Waterproof Watch for Birthday Gift with Box, Casual Stainless Steel Wristwatch, Quartz Wrist Watches",,3345.0,4.31,4.07,53.84,8.0,,POEDAGAR SSS,女表,,,products_sales_us.csv,60.0,54.8,40.0,92.0,60.0,60.0,56.4,61.4,60.2,
139,"Men's & Women's 6-Pack Vintage Rectangle Frame Sunglasses Set - UV400 Sun Protective Casual Trendy Frames Sunglasses, Anti-UV Glasses, Luxury Fashion Accessories, Men's Gifts, Accessories For Women, Womens Sunglasses",11.99,3176.0,4.35,4.13,54.02,12.0,,Urban Optic Shop,镜框与镜片,,,products_sales_us.csv,100.0,54.0,60.0,20.0,60.0,60.0,55.8,66.0,60.2,价格战红海
379,"EUNOIALENS Unisex Style 2PCS Chunky Rectangle Full Rim Plastic Bold Frame Sunglasses - UV400 Protection, Standout Beach-Themed, Shared Wear, Men's Accessories, Ideal for Casual Outings & Beach Days, Womens Sunglasses",12.65,1768.0,2.44,9296.0,13.52,15.0,,DS high quality goods,太阳镜,,,products_sales_us.csv,100.0,46.5,75.0,20.0,60.0,60.0,50.5,69.8,60.2,价格战红海
420,"Tewiky 14K Gold Bracelet Waterproof, Stackable Jewelry Set Non-Fading, Stylish and Delicate Bracelet Stackable Fashion Accessory, Gift for Women",15.99,1644.0,2.62,2559.0,4.09,,,Tewiky official,首饰套装,,,products_sales_us.csv,100.0,46.0,60.0,36.0,60.0,60.0,50.2,69.2,60.2,价格战红海
474,"【summerwins】Women's Luxury Gold Tone Analog Watch - Modern Fashionable Wristwatch with Simple Scale Square Dial, Gold Plated, Self-Size Adjuster, Gift Box, High Quality Watch for Mom, High Quality Watches",,1499.0,2.56,1.14,19.0,10.0,,New Pioneers Shop,女表,,,products_sales_us.csv,60.0,49.6,50.0,92.0,60.0,60.0,52.7,63.9,60.2,
88,"Women's Luxury 4-Pack Zircon Stud Earring Set - Gold/Silver, Round/Square Styles, Hypoallergenic Fit, Everyday Wear, Matching Backs, Complimentary Box - Accessories for Women, Premium Gifts, Gemstone stud earrings, Jewelry For Women",13.57,3963.0,6.15,3.23,47.62,10.0,,LUNARA,耳环,,,products_sales_us.csv,100.0,58.4,50.0,20.0,60.0,60.0,58.9,63.5,60.0,价格战红海
167,SIPHEW Classic Sunglasses for Women Polarized Driving Anti-Glare UV Protection,12.6,2852.0,3.85,1.13,15.43,10.0,,SunniesHub,太阳镜,,,products_sales_us.csv,100.0,58.3,50.0,20.0,60.0,60.0,58.8,63.5,60.0,价格战红海
490,"3CT Square Halo Ring, 5A CZ Wedding Band for Women, Engagement Ring Jewelry Promise Ring Gift for Her Bridal Rings Statement Ring",23.27,1460.0,3.62,2640.0,6.63,15.0,,JJ Chic,戒指,,,products_sales_us.csv,100.0,45.3,75.0,20.0,60.0,60.0,49.7,69.8,59.9,价格战红海
358,Silicone Perfume Oil Keychain - Free With Any Perfume Oil,15.0,1833.0,3.61,1.06,19.13,12.0,,CYKLAR,钥匙扣,,,products_sales_us.csv,100.0,52.1,60.0,20.0,60.0,60.0,54.5,66.0,59.6,价格战红海
135,"BloomChic Women's Plus Size Black Statement Belt [M-6X] - Gold-Tone Buckle With Chain Detail, Regular Sizes 10-30, Casual Wrap Waist Belt for Dresses & Fall Outfits, Women's Fashion Accessories",6.1,3200.0,2.55,5675.0,4.6,12.0,,BloomChic,皮带,,,products_sales_us.csv,100.0,51.7,60.0,20.0,60.0,60.0,54.2,66.0,59.5,价格战红海
211,"Unisex 2-Pack Retro Futuristic Square Sunglasses, Trendy Y2K Fashion Shades for Driving, Outdoor Activities, Men's Accessories for Adults, Mens Gifts, Cool Gifts for Guys, Accessories Adults",9.99,2536.0,2.55,2727.0,2.74,13.0,,Embercraft,太阳镜,,,products_sales_us.csv,100.0,49.3,65.0,20.0,60.0,60.0,52.5,67.2,59.5,价格战红海
29,"Stylish Aviator Sunglasses for Men and Women , Trendy Rectangle, Fashionable Design, Perfect for Outdoor Activities and Daily Wear",,6223.0,8.54,2.62,35.92,15.0,,StarH,太阳镜,,,products_sales_us.csv,60.0,70.2,75.0,20.0,60.0,60.0,67.2,55.8,59.3,
178,"Back To School Sunglasses for Travel use, Fashion Fall/Summer 2026 Geometric Frame Double Beam Sun Protection Glasses Trends, Travel Accessories, Fall Outfits, Fall Freshness, Vacation Outfits",11.88,2808.0,3.95,1.52,20.29,10.0,,GOECI,太阳镜,,,products_sales_us.csv,100.0,56.1,50.0,20.0,60.0,60.0,57.2,63.5,59.3,价格战红海
476,"ShineThru Men's 6-Pair Metal Rimless Sleek Rectangular Trendy Sunglasses - PC Gradient Lenses, UV-Protection Lens, Stylish Glasses, Unisex Men's Accessories for Daily Commuting, Outdoor Activities",16.3,1493.0,2.79,1.59,27.93,13.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,48.4,65.0,20.0,60.0,60.0,51.9,67.2,59.3,价格战红海
185,KINHOPI Gold Big Hoop Earrings for Big Ear Men Cartilage Huggie Simple Clean Lightweight Gift Gold Plated Hoop men's accessories,14.99,2750.0,4.35,1.57,24.54,10.0,,KINHOPI,耳环,,,products_sales_us.csv,100.0,55.6,50.0,20.0,60.0,60.0,56.9,63.5,59.2,价格战红海
266,"ShineThru Women's Aviator Sunglasses - Trendy Designer Full-Rim UV400 Protection Eyewear, Gold Trim Black Frame, Lightweight Pilot Style, Fashionable Accessories for Women, Trendy Sunglasses",10.66,2212.0,2.66,6381.0,7.5,13.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,48.1,65.0,20.0,60.0,60.0,51.7,67.2,59.2,价格战红海
461,"Men's 2-Piece Buckleless Elastic Waist Belt, Casual Hook-and-Loop Closure Belts for Adjustable Fit, Men's Accessories Elastic Waist Band, Accessories Adults, Guys Gifts, Gifts For Him, Mens Gifts",9.9,1524.0,1.71,6660.0,9.89,14.0,,LDK Tool,皮带,,,products_sales_us.csv,100.0,45.6,70.0,20.0,60.0,60.0,49.9,68.5,59.2,价格战红海
180,Y2K Retro Fashion Tortoise Shell Polarized Sunglasses for Women Lightweight Square Frame High Quality Casual Summer Glasses Gift for Girlfriend backtoschool,8.72,2792.0,2.59,2940.0,2.73,12.0,,Halo Daily Shop,太阳镜,,,products_sales_us.csv,100.0,50.2,60.0,20.0,60.0,60.0,53.2,66.0,59.1,价格战红海
34,"LOLIAS 14K Chunky Gold Hoop Earrings for Women 925 Sterling Silver Post Hollow Tube Hoops Earrings 4mm Thick Hoop Earrings Hypoallergenic Lightweight Gold Big Large Hoop Earrings 25/30/40/50/60/70MM, Gold Jewelry, Accessories",,5647.0,7.47,1.1,15.23,12.0,,LOLIAS JEWELRY,耳环,,,products_sales_us.csv,60.0,76.7,60.0,20.0,60.0,60.0,71.7,52.0,59.0,
66,Zlzlblbl Wig Cap for Women HD Lace Front Wigs 2 Pieces,19.99,4431.0,9.7,1.48,30.92,1.0,,Zlzlblbl Hair Factory Store,接发与假发配件,,,products_sales_us.csv,100.0,65.6,5.0,44.0,60.0,60.0,63.9,57.0,59.0,
158,"Skull Beanie 2025 - New Unisex Knitted Beanie Hat - High Quality Y2k Warm Beanies Running Cap, Breathable Elastic Material, Casual Style, Fashionable Hats, Letter Print Beanie",5.21,2945.0,1.96,1.0,9.03,8.0,,Naiben Clothing,帽子,,,products_sales_us.csv,100.0,60.0,40.0,20.0,60.0,60.0,60.0,61.0,59.0,价格战红海
189,"5 Pairs 14K Gold Plated Huggie Small Hoop Earrings Set for Women Men, Hypoallergenic Hoop Earrings for Cartilage, Lightweight Stackable Earrings for Sensitive Ears",12.99,2708.0,3.88,9494.0,13.17,12.0,,YIONIFI official,耳环,,,products_sales_us.csv,100.0,49.9,60.0,20.0,60.0,60.0,52.9,66.0,59.0,价格战红海
190,"Women's High-End Sense Personality Fashion Big Brand, P Polygonal High-End Sunglasses Frame,Men's Fashion Sunglasses",15.59,2706.0,4.04,5834.0,8.48,12.0,,moqushangmaoshop,镜框与镜片,,,products_sales_us.csv,100.0,49.9,60.0,20.0,60.0,60.0,52.9,66.0,59.0,价格战红海
25,"Unisex Statement Sunglasses - Colorful Mirrored 1-Piece Rubber Shield Design, Windproof UV400 Shield, Outdoor Sports Eyewear Statement Pieces for Outfits for Beach, Driving",,6933.0,6.93,1.63,16.13,11.0,,Urban Optic Shop,镜框与镜片,,,products_sales_us.csv,60.0,78.7,55.0,20.0,60.0,60.0,73.1,50.8,58.9,
46,#350 Ginger 13x6 Lace Front Wigs Ginger Orange Body Wave HD Lace Wig Straight Human Hair Wigs With Natural Hairline,19.99,4941.0,10.74,2.18,48.65,1.0,,Cute Bein Hair Shop,接发与假发配件,,,products_sales_us.csv,100.0,65.2,5.0,44.0,60.0,60.0,63.6,57.0,58.9,
141,"ZENOTTIC Daily Anti Blue Light Glasses for Men & Women, Rectangle TR90 Frame with Ultra Clean Lense & Adjustable Spring Hinge,Summer Wins,Gaming Essential",16.9,3169.0,6.15,3.32,61.68,10.0,,ZENOTTIC,镜框与镜片,,,products_sales_us.csv,100.0,54.6,50.0,20.0,60.0,60.0,56.2,63.5,58.9,价格战红海
87,"Sunber Custom Wig Bonding Adhesive Backed Double-Sided Sticky Tape, Hair Extension Accessory",9.99,3988.0,5.03,2.42,27.05,3.0,,Sunber Hair,接发与假发配件,,,products_sales_us.csv,100.0,59.8,15.0,44.0,60.0,60.0,59.8,59.5,58.8,
170,"Boho Multi-Layer Faux Pearl Necklace for Women, Vintage Statement Fashion Jewelry, Versatile Gift for Daily Wear and Parties, String of Pearls, Trendy Necklace, Pearl Necklace Strand, Accessory Necklace",9.0,2836.0,2.87,1.03,10.88,8.0,,Nyareya,项链,,,products_sales_us.csv,100.0,59.0,40.0,20.0,60.0,60.0,59.3,61.0,58.7,价格战红海
247,"Unisex Fashion Skull Cap - Beanie Hats, Casual Outfits Cap, Fashionable Hats, Fitted Beanie, Flexible Fit Design, One Size for Daily Wear & Sports",,2328.0,1.36,1.01,6.16,20.0,,This is my life,帽子,,,products_sales_us.csv,60.0,55.7,100.0,20.0,60.0,60.0,57.0,62.0,58.7,
44,"EunoiaLens Unisex Oval Non-Prescription Glasses 2-Pack - Black & Clear Full Rim Minimalist Chic Frames, Stainless Steel, Oval Shape Flatters Face, Shared Style Fit, Classic Fashion Accessory, Summer Outfit Travel Essential Gift Set",,5155.0,6.47,1.83,23.62,15.0,,DS high quality goods,镜框与镜片,,,products_sales_us.csv,60.0,67.7,75.0,20.0,60.0,60.0,65.4,55.8,58.6,
256,"Tewiky Costume Jewelry Live Auction - Layered Necklaces, Everyday Wear, Mix-Match Easy Fashion Accessories",19.99,2271.0,4.54,3270.0,6.53,,,Tewiky official,项链,,,products_sales_us.csv,100.0,48.3,60.0,20.0,60.0,60.0,51.8,66.0,58.5,价格战红海
73,"Women's Colorblock Print Long Scarf & Poncho Set, Casual Soft Comfortable Shawl for Beach Vacation, Beach Cover Up, Beachwear Cover Up, Swimwear Coverups, Swimsuit Coverups, Fashion Accessories for Women & Girls",6.98,4279.0,3.19,5.79,72.67,8.0,,IROJEFF,围巾&围脖,,,products_sales_us.csv,100.0,58.0,40.0,20.0,60.0,60.0,58.6,61.0,58.4,价格战红海
281,"Gold Plated Chain and Pendant Set - 22"" 4mm Chain with Tricolor Charms for Boys & Girls - Perfect Gift for Mom Aunt Niece Daughter",13.99,2182.0,3.36,8932.0,13.25,12.0,,Nancy elizabeth varela,项链,,,products_sales_us.csv,100.0,48.0,60.0,20.0,60.0,60.0,51.6,66.0,58.4,价格战红海
4,〖Summer Vibes〗3 PCS Retro Oval Sunglasses for Women Chic Cat Eye 90s Sunnies Lightweight Narrow Shades Trendy UV Protection Sunglasses Vintage Rich Girl Sunglasses Women Sunglasseswomen,11.9,1.25,16.89,6.26,84.41,15.0,,TS Fashion Boutique,太阳镜,,,products_sales_us.csv,100.0,40.0,75.0,20.0,60.0,60.0,46.0,69.8,58.3,价格战红海
299,"Women's 4-Piece Semi-Rimless Oversized Square Sunglasses - Chic Black Anti-UV Minimalist Eyewear, Leopard Print Styles for Streetwear, Outdoor Use, Back to School Sports Eyewear",9.99,2100.0,2.21,2936.0,3.06,12.0,,Halo Daily Shop,太阳镜,,,products_sales_us.csv,100.0,47.7,60.0,20.0,60.0,60.0,51.4,66.0,58.3,价格战红海
304,"Cute leopard print plush sleep cap with bear ears and a bow; women’s sleep cap with ruffle detailing and satin lining; anti frizz hair protection night cap; soft, stretchy headwear suitable for curly haired users during sleep, everyday beauty routines, an",12.9,2072.0,3.01,2794.0,4.08,12.0,,CANDY YOYO,帽子,,,products_sales_us.csv,100.0,47.6,60.0,20.0,60.0,60.0,51.3,66.0,58.3,价格战红海
448,"Yaki Curly V Part Wig 26 Inch, Synthetic Half Wig Glueless U Part, Flip Curls, Natural, for Women, Daily Party Use, Natural Looking Wig, Glueless Wavy Wig",24.0,1559.0,2.93,2523.0,4.48,8.0,,LADY MIRANDA,化纤全机制头套,,,products_sales_us.csv,100.0,45.7,40.0,44.0,60.0,60.0,50.0,65.8,58.3,
7,Summervibes Dreamlover Brown Black Wig Grip Band 2pcs for Women Adjustable Headband for Keeping Wigs in Place Non Slip Comfortable Breathable Hair Styling Tool,10.0,1.03,13.07,4.97,58.88,10.0,,Dreamlover Online,接发与假发配件,,,products_sales_us.csv,100.0,40.0,50.0,44.0,60.0,60.0,46.0,68.3,58.1,
149,GANIA Letter Layered Ankle Bracelets for Women Dainty Chain Initial Pendant Anklets Set Hypoallergenic A-Z Gifts for Girls Trendy Adjustable Size Waterproof Costume Accessories,12.0,3064.0,4.3,12.99,159.75,10.0,,GANIA,脚链,,,products_sales_us.csv,100.0,52.0,50.0,20.0,60.0,60.0,54.4,63.5,58.1,价格战红海
360,TEWIKY (J) Anklets & Bracelets | 14K Gold Plated Jewelry Auction Exclusive J,16.99,1831.0,3.28,2318.0,4.15,,,Tewiky,脚链,,,products_sales_us.csv,100.0,46.7,60.0,20.0,60.0,60.0,50.7,66.0,58.0,价格战红海
227,"[Blue Light Blocking] Retro Square Semi-Rimless Glasses | Stylish PC + Metal Wear-Resistant Blend Non-Prescription Glasses for Reading, Gaming, and Computer Use (Includes Cleaning Cloth & Case)",13.96,2452.0,3.78,6936.0,10.55,11.0,,TIANYUE Accessories&Hats,镜框与镜片,,,products_sales_us.csv,100.0,49.0,55.0,20.0,60.0,60.0,52.3,64.8,57.9,价格战红海
391,TEWIKY (J) Necklace 14K Gold Plated Jewelry Auction Exclusive J,17.99,1730.0,3.1,2505.0,4.49,,,Tewiky,项链,,,products_sales_us.csv,100.0,46.3,60.0,20.0,60.0,60.0,50.4,66.0,57.9,价格战红海
70,"Vibrant Beach Shawl, Loose Fit, Sun Protection, Casual Style, Perfect for Vacation & Daily Wear, Embrace Summer Comfort, Beach Coverups",9.87,4371.0,4.99,4601.0,5.26,8.0,,IROJEFF Shop,围巾&围脖,,,products_sales_us.csv,100.0,56.0,40.0,20.0,60.0,60.0,57.2,61.0,57.8,价格战红海
436,TEWIKY Gold Virgin Mary Necklace with Cross Dainty Y Chain Faith Jewelry Gift For Women Elegant Design Long Versatile Use For Easter,12.6,1595.0,2.17,8371.0,11.08,12.0,,Tewiky,项链,,,products_sales_us.csv,100.0,45.8,60.0,20.0,60.0,60.0,50.1,66.0,57.8,价格战红海
443,"2026 Women's Vintage Square Oversized Sunglasses - Retro Framework, PC-Plastic Large Statement Frames, Full Protection, Vintage Charm for Travel, Beach Wear, Statement Frame Glasses, Enhanced Coverage, One Size, Full-Frame",10.29,1577.0,1.82,8565.0,9.87,12.0,,VGO SHOP,太阳镜,,,products_sales_us.csv,100.0,45.8,60.0,20.0,60.0,60.0,50.0,66.0,57.7,价格战红海
318,Polarized Over Glasses Sunglasses for Women Sunglasses that Fit Over Glasses UV400 Protection for Outdoor Driving,12.6,2000.0,2.75,2.1,29.41,10.0,,SunniesHub,太阳镜,,,products_sales_us.csv,100.0,50.3,50.0,20.0,60.0,60.0,53.2,63.5,57.6,价格战红海
485,"Boys&Hood 8A High Quality Honeycomb Diamond Grillz, Hiphop Streetwear Teeth-Dental Accessory, Men's Funky Unique Costume Body Jewelry Set, Teeth Accessory, Funky Unique Accessories",19.99,1474.0,3.22,4191.0,9.03,12.0,,Boys Hood,身体饰品,,,products_sales_us.csv,100.0,45.4,60.0,20.0,60.0,60.0,49.8,66.0,57.6,价格战红海
492,"Inspire Bracelet ""GOD IS IN CONTROL""/""DIOS TIENE EL CONTROL"" - Premium Artistic Engraving, Stainless Steel & 18k Gold Plated, Adjustable Up to 10in, Meaningful & Visually Appealing Jewelry, English and Spanish, Perfect Mother's Day Gift, SummerVibes",8.71,1459.0,1.4,7948.0,7.68,12.0,,SnugSpark Studio,手环与手链,,,products_sales_us.csv,100.0,45.3,60.0,20.0,60.0,60.0,49.7,66.0,57.6,价格战红海
469,"The MULA S925 silver-plated firefly ring, with its elegant and luxurious fluorescent design, is the perfect gift for girls, ladies, and nature lovers. (Zircon-set nature-inspired ring)",11.95,1506.0,1.85,1.08,11.59,10.0,,MULA Fashion Jewerly,戒指,,,products_sales_us.csv,100.0,49.9,50.0,20.0,60.0,60.0,52.9,63.5,57.5,价格战红海
212,"Blue Light Blocking Glasses 99% for Computer & Gaming | Anti Eyestrain Glasses with UV Protection | Anti Glare Screen Glasses for Office & Streaming,summer outifit,travel essentials",,2535.0,5545.31,3.93,12.61,35.0,,YUTA Store,镜框与镜片,,,products_sales_us.csv,60.0,51.3,100.0,20.0,60.0,60.0,53.9,62.0,57.4,
259,"GGIRL Fashion World Map Pendant Necklace 18K Gold Plated National Flag Design for Men Women Neutral Gift Travel Enthusiast Modern Versatile Streetwear Statement Jewelry，Fashion Jewelry Gift for Holiday Haul Christmas Birthdays Anniversaries,summerwins",12.99,2253.0,3.39,4.83,61.52,10.0,,GGIRL,项链,,,products_sales_us.csv,100.0,49.7,50.0,20.0,60.0,60.0,52.8,63.5,57.4,价格战红海
282,"2 pair Earring 18K Gold Plated Set for Men and Women. Features VVS - cut round and square gemstone earrings. These delicate, elegant and stylish accessories are for pierced ears.TikTokShopBlackFriday",13.99,2181.0,3.3,1.64,23.97,9.0,,STEFEN FLAME Jewelry,耳环,,,products_sales_us.csv,100.0,52.1,45.0,20.0,60.0,60.0,54.5,62.2,57.4,价格战红海
213,"Earrings for Women, 14K Gold & White Gold Plated Hoop Earrings, Lightweight Hypoallergenic Chunky Modern Statement Jewelry, Daily Casual Party Wear Accessories, Stylish Ear Ornaments, Elegant Fashion Decoration, Ideal Birthday Holiday Gifts for Women",13.99,2531.0,4.02,5564.0,8.76,10.0,,SHINEME JEWELRY,耳环,,,products_sales_us.csv,100.0,49.3,50.0,20.0,60.0,60.0,52.5,63.5,57.3,价格战红海
214,MOO MOO Women’s printed long dress and scarf set; Bohemian casual shawl dress with scarf; relaxed loose beachwear; soft and comfortable; suitable for all seasons; a must-have for seaside vacations. Matching Outfit,8.99,2514.0,3.21,4526.0,5.62,10.0,,KK-ARS,围巾&围脖,,,products_sales_us.csv,100.0,49.2,50.0,20.0,60.0,60.0,52.4,63.5,57.3,价格战红海
348,"Japanese Street Style Camp Hat, Men's 5-Panel Polyester Baseball Cap, Lightweight & Breathable, Sporty Chic Streetwear, Men's Accessories for Adults, Mens Hats, Accessories Adults, Gifts For Him, Guys Gifts, Cool Gifts For Guys, Baseball Drip",14.96,1863.0,3.0,7915.0,12.36,11.0,,TIANYUE Accessories&Hats,帽子,,,products_sales_us.csv,100.0,46.8,55.0,20.0,60.0,60.0,50.8,64.8,57.3,价格战红海
96,"Leopard Print Square Statement Ring, Wild Pattern Design, Animal Theme, Side Embellishments, Bold Personalized Fashion Jewelry Ring",6.59,3814.0,2.8,3941.0,2.9,8.0,,Speroseful,戒指,,,products_sales_us.csv,100.0,54.0,40.0,20.0,60.0,60.0,55.8,61.0,57.2,价格战红海
381,1Pack Satin Hair Scrunchies for Women - Glossy Satin Scrunchies for Hair Satin Scrunchies for Girls Holiday Gift Silk Hair Tie No Damage Cute Satin Hair Scrunchie for Styling,15.99,1764.0,3.14,2.19,36.55,10.0,,UA HAIR,头绳,,,products_sales_us.csv,100.0,49.0,50.0,20.0,60.0,60.0,52.3,63.5,57.2,价格战红海
382,"Hair Clips 2 Pack – Professional Alligator Clips For Hair, Hair Clips For Styling, Hair Styling Clips, Aligator Clips, Salon Hair Clips, Plastic Hair Clips",15.99,1764.0,3.11,2.19,36.59,10.0,,UA HAIR,发夹发簪,,,products_sales_us.csv,100.0,49.0,50.0,20.0,60.0,60.0,52.3,63.5,57.2,价格战红海
383,"3 pieces No Bend Hair Clips, No Crease Hair Clips, Pin Curl Hair Clips for Makeup Hair Styling",15.99,1764.0,3.13,2.19,36.76,10.0,,UA HAIR,发夹发簪,,,products_sales_us.csv,100.0,49.0,50.0,20.0,60.0,60.0,52.3,63.5,57.2,价格战红海
243,"Men's Minimalist Faith Cross Necklace - Stainless Steel with Inscriptions, Durable Fashion Accessory | Halo Accessories",13.48,2375.0,3.61,8523.0,12.52,10.0,,Halo accessories,项链,,,products_sales_us.csv,100.0,48.7,50.0,20.0,60.0,60.0,52.1,63.5,57.1,价格战红海
295,"Energy magnet bracelet, eco-friendly alloy with diamonds, adjustable ladies' wristband，Valentine's Day gift, Christmas gift",6.9,2107.0,1.67,5.94,57.15,10.0,,LINTNIPIECD,手环与手链,,,products_sales_us.csv,100.0,48.8,50.0,20.0,60.0,60.0,52.2,63.5,57.1,价格战红海
286,"Men's Sporty Glasses, Active Eyewear, Trendy Casual Wraparound Frame Glasses for Everyday Use, Summer Sports Glasses, Fashion Accessories for Outdoor Activities, Lightweight Sports Sunglasses",11.72,2147.0,2.9,1.2,11.98,8.0,,ZX Coolmaker,太阳镜,,,products_sales_us.csv,100.0,53.5,40.0,20.0,60.0,60.0,55.4,61.0,57.0,价格战红海
394,"KissYan Gold Ankle Bracelets for Women, 9"" or 11"" 14K Gold-Plated Anklets Chunky Cuban Link Chain Summer Beach Foot Jewelry Gifts & Jewelry for Christmas Gifts 9"" or 11"" Adjustable Extension Chain Mothers Day Gift Ideas TikTokShopBackToSchool",14.4,1721.0,2.92,2.58,42.97,10.0,,KissYanOfficial,脚链,,,products_sales_us.csv,100.0,48.4,50.0,20.0,60.0,60.0,51.9,63.5,57.0,价格战红海
197,"Unisex Dri-Fit Loc Cap - Hats, Baseball Cap Wave, Classic Snapback, Smurf Logo, Breathable, Soft, Lightweight for Stylish Wear, Snapback Hats, Brand Logo Hats",,2644.0,3.95,7225.0,10.46,20.0,,smurfandcompany,帽子,,,products_sales_us.csv,60.0,49.7,100.0,20.0,60.0,60.0,52.8,62.0,56.9,
264,"Soco Exquisite 3-Pair 14K Gold Plated Layered Hoop Earring Set for Women, Geometric and Round Huggie Earrings with Hinged Clasps, Model DDES0407",13.9,2224.0,2.93,6589.0,7.85,10.0,,Soocosisx,耳环,,,products_sales_us.csv,100.0,48.1,50.0,20.0,60.0,60.0,51.7,63.5,56.9,价格战红海
